word,len,split_name,0-0,0-1,0-2,0-3,0-4,0-5,0-6,0-7,0-8,0-9,0-10,0-11,0-12,0-13,0-14,0-15,0-16,0-17,0-18,0-19,0-20,0-21,0-22,0-23,0-24,1-0,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24
b l i1ː g ɪ f,6,data/daland_test.txt,21.80733871459961,20.980770111083984,20.30544662475586,22.45895767211914,21.788387298583984,20.682518005371094,21.954936981201172,20.876384735107422,23.11537742614746,22.700519561767578,20.329195022583008,20.807750701904297,21.78691864013672,24.2841796875,21.39530372619629,22.52654266357422,22.28972625732422,22.446924209594727,20.429492950439453,22.209917068481445,23.007904052734375,20.67984390258789,21.6795654296875,20.34530258178711,23.201339721679688,24.11310577392578,22.427867889404297,20.94272804260254,24.416725158691406,20.73133659362793,23.09512710571289,22.73882293701172,23.464488983154297,21.606538772583008,22.90812873840332,21.60353660583496,22.951080322265625,21.713424682617188,21.8616943359375,24.54438591003418,21.466995239257812,20.83365249633789,22.642499923706055,21.219501495361328,21.46778678894043,23.37006950378418,23.990760803222656,25.763261795043945,21.58026885986328,23.295536041259766
b l ɛ1 z ɪ g,6,data/daland_test.txt,25.9804630279541,24.857078552246094,24.704124450683594,25.132171630859375,28.563037872314453,25.929401397705078,21.346586227416992,22.369749069213867,27.255096435546875,24.15673065185547,24.15174102783203,24.423931121826172,24.171863555908203,24.88665771484375,25.392990112304688,25.55001449584961,22.071308135986328,27.98009490966797,26.363073348999023,24.570331573486328,25.288259506225586,20.397823333740234,24.02707290649414,20.578590393066406,24.312728881835938,24.25130271911621,24.54288101196289,25.392559051513672,25.1086368560791,21.122425079345703,22.946910858154297,22.730310440063477,26.426136016845703,21.452634811401367,25.771240234375,28.105709075927734,24.242656707763672,25.271400451660156,27.79167938232422,28.815065383911133,25.67134666442871,23.413503646850586,23.11989974975586,25.94441795349121,27.09579849243164,25.214006423950195,21.625333786010742,25.424205780029297,24.338260650634766,27.634017944335938
b ɹ i1ː g ɪ f,6,data/daland_test.txt,26.839881896972656,28.56407928466797,26.667461395263672,24.875713348388672,27.79062271118164,28.480562210083008,25.481033325195312,26.966285705566406,29.596269607543945,29.83251190185547,26.76189422607422,29.439668655395508,25.553987503051758,32.98442077636719,26.444677352905273,27.66189956665039,28.589296340942383,29.698322296142578,26.89788055419922,26.21390724182129,26.420923233032227,26.331741333007812,26.892173767089844,23.373092651367188,33.867801666259766,26.544015884399414,25.884319305419922,22.473995208740234,27.509178161621094,23.50295639038086,25.865623474121094,24.440629959106445,29.421842575073242,23.35407066345215,27.52132797241211,29.404014587402344,30.29202651977539,27.95876693725586,28.580421447753906,31.718210220336914,28.165359497070312,22.586124420166016,25.329818725585938,24.619762420654297,24.73040008544922,29.299448013305664,26.96818733215332,25.997671127319336,25.02900505065918,28.074888229370117
b ɹ ɛ1 p ɪ d,6,data/daland_test.txt,21.226703643798828,24.52200698852539,30.676868438720703,21.45999526977539,25.978134155273438,22.091197967529297,21.709579467773438,19.948139190673828,23.587173461914062,26.622230529785156,26.019683837890625,27.408004760742188,22.005104064941406,24.435407638549805,24.53934097290039,26.320655822753906,22.972930908203125,25.587535858154297,26.068416595458984,23.913379669189453,22.423551559448242,22.616779327392578,21.485443115234375,19.83301544189453,24.662445068359375,24.250375747680664,23.297042846679688,22.569093704223633,24.876487731933594,20.938926696777344,24.378244400024414,25.920074462890625,27.849802017211914,21.080169677734375,26.82074737548828,27.414752960205078,26.281824111938477,23.831573486328125,26.653833389282227,24.124732971191406,28.40123176574707,18.85759735107422,22.09215545654297,24.536670684814453,28.828895568847656,25.443265914916992,20.156169891357422,21.568891525268555,26.292827606201172,27.174270629882812
b w i1ː g ɪ f,6,data/daland_test.txt,31.918920516967773,35.533504486083984,35.01658630371094,33.956275939941406,40.79375457763672,33.37416458129883,34.176490783691406,32.1922721862793,34.27849197387695,34.2801513671875,36.04503631591797,35.47711181640625,34.8602294921875,40.344154357910156,33.020835876464844,31.207576751708984,37.31359100341797,41.13050842285156,34.08320236206055,33.35546875,38.37290954589844,36.625614166259766,33.16274642944336,30.102203369140625,38.164913177490234,35.78357696533203,35.687278747558594,30.860612869262695,37.09281539916992,29.539535522460938,34.82548141479492,32.9311637878418,35.64354705810547,30.919031143188477,37.03068542480469,35.418399810791016,35.488014221191406,35.93192672729492,38.065574645996094,42.00968551635742,37.599525451660156,27.24643898010254,34.29935836791992,33.90266036987305,33.88035583496094,38.24037170410156,33.503299713134766,31.43979263305664,33.93017578125,36.595855712890625
b w ɑ1ː s ɪ p,6,data/daland_test.txt,30.24781036376953,34.3267707824707,35.816307067871094,32.333011627197266,34.8160285949707,29.896041870117188,29.806556701660156,29.588790893554688,29.961627960205078,31.8289794921875,30.29621696472168,31.49409294128418,33.626220703125,31.272323608398438,32.10037612915039,31.15451431274414,36.16805648803711,40.70960235595703,34.68769836425781,30.759397506713867,32.22406768798828,32.22466278076172,31.36447525024414,26.797719955444336,30.535621643066406,32.02159118652344,31.65148162841797,27.361804962158203,35.37861251831055,29.8170108795166,35.13652801513672,33.0234260559082,34.26588439941406,31.583431243896484,33.41621780395508,32.41131591796875,35.068790435791016,32.072750091552734,34.20215606689453,37.83293533325195,34.303810119628906,25.05939483642578,30.29279899597168,32.25850296020508,32.470489501953125,32.893253326416016,28.46053695678711,30.901880264282227,33.39200210571289,34.596370697021484
d g ɛ1 p ɪ d,6,data/daland_test.txt,30.341861724853516,29.48587417602539,31.898468017578125,33.09497833251953,30.954425811767578,28.211318969726562,28.413188934326172,31.912960052490234,33.87147521972656,29.96317481994629,31.318241119384766,32.07177734375,33.77021789550781,32.44801330566406,32.05003356933594,31.879701614379883,28.674150466918945,30.308256149291992,34.615596771240234,33.992462158203125,32.529869079589844,30.08060073852539,29.006065368652344,26.133861541748047,36.172760009765625,26.29987144470215,33.35980987548828,31.843334197998047,31.890769958496094,26.822036743164062,33.70741271972656,27.712799072265625,32.124237060546875,32.1312255859375,33.31216049194336,34.740509033203125,30.799772262573242,26.400714874267578,33.39314651489258,30.79831886291504,32.669822692871094,27.109256744384766,30.763896942138672,32.6619987487793,32.08086395263672,31.75328254699707,27.897300720214844,26.34591293334961,33.725799560546875,31.595809936523438
d g ɑ1ː t ɪ f,6,data/daland_test.txt,31.955381393432617,34.832008361816406,33.17078399658203,35.31560134887695,37.072425842285156,30.544818878173828,32.00920486450195,34.56663513183594,33.1588249206543,32.13217544555664,36.914066314697266,33.67578887939453,37.82021713256836,34.539249420166016,33.777530670166016,33.038856506347656,34.3724479675293,36.320674896240234,33.00147247314453,36.37696838378906,35.640071868896484,32.32427215576172,35.26142883300781,30.87224769592285,37.12038803100586,31.58137321472168,36.17754364013672,32.25543975830078,35.549903869628906,31.332956314086914,32.63131332397461,30.486074447631836,31.648714065551758,33.601314544677734,35.31898880004883,37.02691650390625,34.95270538330078,31.202991485595703,37.16086959838867,38.1779670715332,39.55033874511719,30.73613739013672,28.893354415893555,33.63429260253906,35.12568283081055,35.9645881652832,31.529010772705078,32.53438186645508,36.03046417236328,33.075439453125
d n i1ː g ɪ f,6,data/daland_test.txt,30.27993392944336,37.43684387207031,33.96036148071289,33.252357482910156,38.28778076171875,33.93239974975586,30.45413589477539,34.77240753173828,32.29978942871094,34.157318115234375,36.80656051635742,36.951534271240234,33.874202728271484,36.260372161865234,34.073341369628906,31.42316436767578,34.420867919921875,31.71971893310547,34.35478210449219,36.87889099121094,29.849380493164062,30.8773193359375,31.755882263183594,30.23711395263672,38.71519088745117,32.796627044677734,36.891937255859375,33.20915985107422,30.628952026367188,34.14723205566406,34.81817626953125,29.600727081298828,35.00006103515625,32.600460052490234,35.934669494628906,32.23515319824219,41.09356689453125,33.069114685058594,34.91931915283203,35.798160552978516,32.25484848022461,30.559186935424805,32.90574264526367,32.487144470214844,34.438987731933594,35.16728973388672,31.99787139892578,31.161338806152344,35.6176643371582,35.13330841064453
d n ɑ1ː t ɪ f,6,data/daland_test.txt,30.159406661987305,33.38615417480469,31.318973541259766,34.6535530090332,38.79121017456055,31.758480072021484,30.737720489501953,31.929040908813477,31.324676513671875,31.667762756347656,33.43648910522461,31.5811824798584,36.377227783203125,33.16948699951172,31.81084442138672,30.20261001586914,34.69422912597656,32.998558044433594,35.86835861206055,33.93424987792969,31.278217315673828,27.812082290649414,27.39373779296875,28.44972038269043,35.50460433959961,33.01055908203125,32.17624282836914,34.669578552246094,30.727901458740234,30.19778823852539,34.741493225097656,29.119735717773438,32.95746612548828,30.248979568481445,34.900211334228516,33.978572845458984,34.48173522949219,30.83938217163086,35.80943298339844,31.409805297851562,29.128204345703125,27.754053115844727,31.169017791748047,32.48733139038086,34.83002471923828,33.382957458496094,28.72760009765625,27.545833587646484,34.912601470947266,32.49726867675781
